query_pdb	query_chain	hit_pdb	hit_chain	hit_cosine	hit_euclid
3OCE	A	1FUQ	B	0.006292	15.905974
3OCE	A	3R6Q	A	0.006402	17.262677
3OCE	A	3OCF	C	0.006572	20.952327
3OCE	A	4ADL	B	0.006617	16.733201
3OCE	A	3GTD	A	0.006642	17.000000
3OCE	A	3E04	A	0.006650	17.972201
3OCE	A	4ADL	A	0.006655	16.583124
3OCE	A	4APA	B	0.006832	17.000000
3OCE	A	4APA	A	0.006993	17.406895
3OCE	A	1JSW	B	0.007010	16.792856
3OCE	A	4ADL	C	0.007177	17.175564
3OCE	A	3E04	B	0.007179	21.000000
3OCE	A	1JSW	C	0.007188	17.058722
3OCE	A	4APA	D	0.007208	17.663522
3OCE	A	4APA	C	0.007248	17.464249
3OCE	A	4ADL	D	0.007327	17.521415
3OCE	A	4APB	D	0.007363	17.378147
3OCE	A	4ADM	B	0.007370	17.406895
3OCE	A	1TJW	C	0.007381	20.174241
3OCE	A	1HY0	A	0.007422	20.273135
3OCE	A	1K7W	C	0.007440	20.248457
3OCE	A	1TJV	D	0.007494	20.396078
3OCE	A	1I0A	D	0.007512	18.627936
3OCE	A	1TJW	A	0.007565	20.420578
3OCE	A	1K7W	D	0.007585	20.976177
3OCE	A	1U16	A	0.007631	19.209373
3OCE	A	3RD8	A	0.007642	18.357560
3OCE	A	1TJV	C	0.007678	21.118712
3OCE	A	1K7W	B	0.007700	20.099751
3OCE	A	1HY0	B	0.007704	21.679483
3OCE	A	3GTD	B	0.007748	20.928450
3OCE	A	1TJW	D	0.007755	20.615528
3OCE	A	1K7W	A	0.007795	21.189620
3OCE	A	1HY1	D	0.007797	20.223748
3OCE	A	1XWO	B	0.007802	19.798990
3OCE	A	1HY1	A	0.007803	20.688161
3OCE	A	1AUW	D	0.007813	18.681542
3OCE	A	1TJU	C	0.007817	21.260292
3OCE	A	1TJV	B	0.007818	22.383029
3OCE	A	1XWO	C	0.007840	19.000000
3OCE	A	1TJW	B	0.007863	19.798990
3OCE	A	1I0A	B	0.007911	19.442222
3OCE	A	1TJU	D	0.007925	20.856654
3OCE	A	1I0A	C	0.007936	19.104973
3OCE	A	1K62	A	0.007954	19.493589
3OCE	A	4ADM	C	0.007969	18.193405
3OCE	A	1DCN	A	0.007995	18.761663
3OCE	A	1XWO	A	0.008001	20.000000
3OCE	A	1TJV	A	0.008034	21.470911
3OCE	B	3OCE	B	-0.000000	0.000000
3OCE	B	3OCE	A	0.001387	7.549834
3OCE	B	3OCE	C	0.001803	9.273618
3OCE	B	3OCE	D	0.003411	14.798649
3OCE	B	3R6V	B	0.003664	14.317821
3OCE	B	1J3U	A	0.003731	13.892444
3OCE	B	3OCF	A	0.003756	14.387495
3OCE	B	3R6V	D	0.003787	13.564660
3OCE	B	3OCF	B	0.003802	12.569805
3OCE	B	3R6Q	G	0.003837	14.106736
3OCE	B	3R6Q	F	0.003943	13.856406
3OCE	B	3R6Q	H	0.003944	14.247807
3OCE	B	3R6V	H	0.004031	13.928388
3OCE	B	3R6V	F	0.004092	14.071247
3OCE	B	3R6Q	C	0.004165	14.594520
3OCE	B	3R6V	A	0.004182	14.177447
3OCE	B	3R6Q	B	0.004214	14.662878
3OCE	B	1J3U	B	0.004261	13.964240
3OCE	B	3R6V	G	0.004316	14.832397
3OCE	B	3R6Q	D	0.004333	14.798649
3OCE	B	3R6Q	E	0.004335	14.798649
3OCE	B	3R6V	C	0.004721	15.394804
3OCE	B	1VDK	B	0.004920	14.142136
3OCE	B	3OCF	D	0.005075	15.362291
3OCE	B	3R6V	E	0.005094	14.525839
3OCE	B	3R6Y	B	0.005422	15.000000
3OCE	B	3R6Y	E	0.005551	15.165751
3OCE	B	3R6Y	H	0.005666	15.329710
3OCE	B	3R6Y	G	0.005765	15.459625
3OCE	B	1VDK	A	0.005773	15.588457
3OCE	B	3E04	D	0.005857	16.186414
3OCE	B	3R6Y	C	0.005872	15.748016
3OCE	B	3R6Y	A	0.005925	15.652476
3OCE	B	3R6Y	F	0.005928	15.652476
3OCE	B	1FUP	A	0.006015	15.748016
3OCE	B	1KQ7	B	0.006016	15.748016
3OCE	B	3R6Y	D	0.006053	15.716234
3OCE	B	1YFM	A	0.006121	15.905974
3OCE	B	1FUO	A	0.006190	15.968719
3OCE	B	2FUS	A	0.006191	15.968719
3OCE	B	2FUS	B	0.006216	16.000000
3OCE	B	1FUP	B	0.006265	16.062378
3OCE	B	1FUO	B	0.006421	16.248077
3OCE	B	1FUQ	A	0.006444	16.278821
3OCE	B	1JSW	D	0.006514	16.370706
3OCE	B	1KQ7	A	0.006531	16.522712
3OCE	B	1FUR	A	0.006595	16.462078
3OCE	B	1FUQ	B	0.006672	16.552945
3OCE	B	3E04	C	0.006689	20.000000
3OCE	B	1YFE	A	0.006713	16.613248
3OCE	B	1FUR	B	0.006769	16.673332
3OCE	B	1JSW	A	0.006776	16.613248
3OCE	B	3R6Q	A	0.006841	18.193405
3OCE	B	4ADL	A	0.006891	17.146428
3OCE	B	4ADL	B	0.006912	17.406895
3OCE	B	1TJW	C	0.007051	19.442222
3OCE	B	4APA	B	0.007070	17.606817
3OCE	B	1JSW	B	0.007118	17.000000
3OCE	B	1K7W	D	0.007119	20.074860
3OCE	B	1K7W	C	0.007203	19.621417
3OCE	B	4ADL	C	0.007262	17.549929
3OCE	B	4APA	A	0.007293	18.110770
3OCE	B	4APA	D	0.007348	18.193405
3OCE	B	4ADL	D	0.007365	17.888544
3OCE	B	1K7W	A	0.007373	20.346990
3OCE	B	4APA	C	0.007383	17.944358
3OCE	B	1XWO	B	0.007392	19.052559
3OCE	B	1K7W	B	0.007424	19.467922
3OCE	B	1XWO	C	0.007429	18.330303
3OCE	B	3GTD	A	0.007460	18.275667
3OCE	B	1HY0	B	0.007465	21.000000
3OCE	B	1HY0	A	0.007467	19.949937
3OCE	B	1JSW	C	0.007469	17.606817
3OCE	B	1TJW	A	0.007470	19.949937
3OCE	B	1TJW	D	0.007566	20.049938
3OCE	B	1DCN	A	0.007572	18.138357
3OCE	B	1TJU	C	0.007582	20.615528
3OCE	B	1TJV	C	0.007582	20.615528
3OCE	B	1K62	A	0.007587	18.841444
3OCE	B	1TJW	B	0.007587	19.209373
3OCE	B	1TJV	D	0.007589	20.124612
3OCE	B	1TJ7	B	0.007632	19.697716
3OCE	B	4ADM	B	0.007652	18.000000
3OCE	B	1AUW	A	0.007663	18.920888
3OCE	B	1TJV	B	0.007667	21.771541
3OCE	B	1I0A	D	0.007672	18.601075
3OCE	B	4APB	D	0.007701	18.027756
3OCE	B	1HY1	A	0.007708	20.223748
3OCE	B	3E04	A	0.007720	19.544820
3OCE	B	3OCF	C	0.007729	22.583180
3OCE	B	1XWO	A	0.007730	19.416488
3OCE	B	1I0A	B	0.007732	19.000000
3OCE	B	1U15	A	0.007807	20.346990
3OCE	B	1TJU	B	0.007817	20.371549
3OCE	B	1HY1	D	0.007849	19.949937
3OCE	B	1HY1	B	0.007873	20.024984
3OCE	B	1AUW	D	0.007935	18.654758
3OCE	B	1DCN	B	0.007958	17.972201
3OCE	B	1DCN	D	0.007973	18.411953
3OCE	B	1TJU	D	0.008017	20.591260
3OCE	C	3OCE	C	-0.000000	0.000000
3OCE	C	3OCE	A	0.001795	8.888194
3OCE	C	3OCE	B	0.001803	9.273618
3OCE	C	3OCE	D	0.002085	10.440307
3OCE	C	3OCF	A	0.003477	12.124356
3OCE	C	3OCF	B	0.004206	12.884099
3OCE	C	1J3U	A	0.004236	16.401219
3OCE	C	3R6V	B	0.004307	17.175564
3OCE	C	3R6V	D	0.004327	15.937377
3OCE	C	3R6Q	H	0.004393	16.643317
3OCE	C	3R6V	A	0.004484	16.155494
3OCE	C	3R6Q	G	0.004518	16.822604
3OCE	C	3R6V	H	0.004535	16.186414
3OCE	C	1VDK	B	0.004558	13.711309
3OCE	C	3R6Q	E	0.004610	16.881943
3OCE	C	3R6Q	D	0.004655	16.941074
3OCE	C	3R6Q	F	0.004658	16.431677
3OCE	C	3R6V	E	0.004674	13.527749
3OCE	C	3R6Q	C	0.004708	17.058722
3OCE	C	3R6V	F	0.004768	16.552945
3OCE	C	1J3U	B	0.004785	16.031220
3OCE	C	3R6V	G	0.004807	17.204651
3OCE	C	3R6Q	B	0.005050	17.464249
3OCE	C	3OCF	D	0.005123	14.142136
3OCE	C	3R6V	C	0.005275	17.748239
3OCE	C	1YFM	A	0.005312	14.387495
3OCE	C	1VDK	A	0.005516	14.594520
3OCE	C	1KQ7	B	0.005578	14.764823
3OCE	C	4ADL	B	0.005605	14.730920
3OCE	C	3E04	D	0.005629	14.764823
3OCE	C	4ADL	A	0.005663	14.764823
3OCE	C	1FUP	A	0.005733	14.966630
3OCE	C	1KQ7	A	0.005774	14.933185
3OCE	C	2FUS	B	0.005887	15.165751
3OCE	C	1FUO	A	0.005914	15.198684
3OCE	C	3R6Q	A	0.005971	15.588457
3OCE	C	1FUP	B	0.005991	15.297059
3OCE	C	1FUQ	A	0.006012	15.329710
3OCE	C	2FUS	A	0.006066	15.394804
3OCE	C	1FUO	B	0.006088	15.427249
3OCE	C	1FUR	B	0.006142	15.491933
3OCE	C	3R6Y	B	0.006186	15.524175
3OCE	C	4APA	B	0.006204	15.491933
3OCE	C	4ADL	C	0.006237	15.491933
3OCE	C	3E04	A	0.006285	16.248077
3OCE	C	1FUR	A	0.006320	15.716234
3OCE	C	1FUQ	B	0.006343	15.748016
3OCE	C	4ADL	D	0.006370	15.684387
3OCE	C	1YFE	A	0.006405	15.811388
3OCE	C	3R6Y	E	0.006414	15.811388
3OCE	C	4APB	D	0.006420	15.716234
3OCE	C	4ADM	B	0.006446	15.748016
3OCE	C	4APA	A	0.006500	15.937377
3OCE	C	1JSW	A	0.006500	16.492423
3OCE	C	3R6Y	F	0.006542	15.968719
3OCE	C	3E04	C	0.006570	17.606817
3OCE	C	4APA	D	0.006571	16.031220
3OCE	C	3R6Y	H	0.006603	16.031220
3OCE	C	3R6Y	G	0.006604	16.031220
3OCE	C	4APA	C	0.006626	16.000000
3OCE	C	1JSW	D	0.006704	17.029386
3OCE	C	3R6Y	A	0.006750	16.217275
3OCE	C	3GTD	A	0.006769	16.248077
3OCE	C	3R6Y	C	0.006793	16.186414
3OCE	C	3OCF	C	0.006829	19.235384
3OCE	C	3R6Y	D	0.006890	16.522712
3OCE	C	3RD8	A	0.006919	16.552945
3OCE	C	3E04	B	0.006985	18.973666
3OCE	C	3RRP	A	0.007159	16.613248
3OCE	C	4ADM	C	0.007164	16.613248
3OCE	C	4APB	C	0.007284	17.349352
3OCE	C	1JSW	B	0.007370	17.291616
3OCE	C	3NO9	C	0.007408	18.083141
3OCE	C	3RRP	B	0.007411	16.881943
3OCE	C	4ADM	D	0.007664	17.175564
3OCE	C	1U16	A	0.007673	20.297783
3OCE	C	3NO9	D	0.007724	18.384776
3OCE	C	3NO9	B	0.007732	18.384776
3OCE	C	3NO9	A	0.007835	18.841444
3OCE	C	1K7W	D	0.007880	22.693611
3OCE	C	1HY0	B	0.008003	23.473389
3OCE	C	1TJW	C	0.008012	22.135944
3OCE	C	1K7W	C	0.008021	22.158520
3OCE	C	3GTD	B	0.008131	19.570386
3OCE	C	1TJW	A	0.008139	22.315914
3OCE	C	1TJV	D	0.008148	22.383029
3OCE	C	1TJV	C	0.008152	23.000000
3OCE	C	1JSW	C	0.008179	17.776389
3OCE	C	1HY0	A	0.008182	22.360680
3OCE	C	1XWO	B	0.008199	21.330729
3OCE	C	1K7W	B	0.008214	21.840330
3OCE	C	1K7W	A	0.008237	23.021729
3OCE	C	1TJU	C	0.008294	23.130067
3OCE	C	1TJV	B	0.008314	24.413111
3OCE	C	1XWO	C	0.008338	20.396078
3OCE	C	1HY1	D	0.008355	22.000000
3OCE	C	1HY1	A	0.008377	22.561028
3OCE	C	1I0A	D	0.008396	20.445048
3OCE	C	1XWO	A	0.008407	21.517435
3OCE	C	1K62	A	0.008413	20.952327
3OCE	D	3OCE	D	0.000000	0.000000
3OCE	D	3OCE	C	0.002085	10.440307
3OCE	D	3OCE	A	0.002844	13.416408
3OCE	D	3OCE	B	0.003411	14.798649
3OCE	D	3OCF	A	0.004441	12.727922
3OCE	D	3R6Q	A	0.005319	13.856406
3OCE	D	1VDK	B	0.005610	16.881943
3OCE	D	3OCF	B	0.005646	16.155494
3OCE	D	3R6V	E	0.005647	16.000000
3OCE	D	3R6Q	G	0.005680	21.540659
3OCE	D	3R6V	B	0.005736	22.315914
3OCE	D	3E04	A	0.005824	14.387495
3OCE	D	3R6Q	C	0.006028	21.863211
3OCE	D	3R6Q	F	0.006051	21.189620
3OCE	D	3R6V	F	0.006123	21.236761
3OCE	D	1YFM	A	0.006227	16.552945
3OCE	D	1FUP	A	0.006232	16.643317
3OCE	D	1KQ7	A	0.006241	16.248077
3OCE	D	1KQ7	B	0.006283	16.703293
3OCE	D	3R6V	D	0.006303	21.330729
3OCE	D	3R6V	A	0.006305	21.354157
3OCE	D	1FUO	A	0.006314	16.733201
3OCE	D	3R6Q	H	0.006319	22.090722
3OCE	D	3R6V	H	0.006324	21.330729
3OCE	D	1J3U	A	0.006329	22.045408
3OCE	D	3R6V	G	0.006370	22.203603
3OCE	D	1FUQ	A	0.006404	16.852300
3OCE	D	3OCF	C	0.006434	15.842980
3OCE	D	3R6Q	D	0.006453	22.181073
3OCE	D	3RD8	A	0.006481	15.394804
3OCE	D	3R6Q	E	0.006509	22.226111
3OCE	D	4ADL	B	0.006519	15.874508
3OCE	D	2FUS	A	0.006522	16.970563
3OCE	D	3R6Q	B	0.006538	22.315914
3OCE	D	1VDK	A	0.006570	16.613248
3OCE	D	3OCF	D	0.006603	15.842980
3OCE	D	3E04	D	0.006608	15.968719
3OCE	D	1FUP	B	0.006610	17.058722
3OCE	D	2FUS	B	0.006711	17.175564
3OCE	D	4ADL	A	0.006715	16.401219
3OCE	D	1J3U	B	0.006891	21.260292
3OCE	D	1FUO	B	0.006905	17.406895
3OCE	D	3R6V	C	0.006914	22.671568
3OCE	D	1YFE	A	0.006940	17.406895
3OCE	D	3NO9	C	0.006979	15.748016
3OCE	D	1FUR	B	0.007024	17.521415
3OCE	D	1FUR	A	0.007097	17.606817
3OCE	D	4ADM	B	0.007098	16.822604
3OCE	D	3NO9	A	0.007137	16.000000
3OCE	D	4ADM	C	0.007147	16.643317
3OCE	D	3E04	B	0.007162	16.401219
3OCE	D	3NO9	B	0.007182	15.968719
3OCE	D	4APA	A	0.007210	16.401219
3OCE	D	4ADL	C	0.007234	17.000000
3OCE	D	3NO9	D	0.007238	16.031220
3OCE	D	4APB	D	0.007247	17.029386
3OCE	D	4APB	C	0.007315	16.124515
3OCE	D	4APA	B	0.007389	16.822604
3OCE	D	4ADL	D	0.007403	16.881943
3OCE	D	4APA	D	0.007418	16.613248
3OCE	D	1FUQ	B	0.007489	18.027756
3OCE	D	4ADM	D	0.007538	17.088007
3OCE	D	3E04	C	0.007619	16.522712
3OCE	D	4APA	C	0.007767	17.233688
3OCE	D	1JSW	A	0.007895	19.723083
3OCE	D	4APB	A	0.007942	16.970563
3OCE	D	3GTD	A	0.007972	17.233688
3OCE	D	4ADM	A	0.008010	16.852300
3OCE	D	3R6Y	B	0.008097	18.547237
3OCE	D	3RRP	B	0.008114	17.888544
3OCE	D	3RRP	A	0.008273	17.804494
3OCE	D	3R6Y	E	0.008430	18.894444
3OCE	D	1JSW	D	0.008445	20.760539
3OCE	D	3R6Y	H	0.008550	18.973666
3OCE	D	3R6Y	F	0.008562	19.026298
3OCE	D	4APB	B	0.008818	17.720045
3OCE	D	3R6Y	G	0.008878	19.287302
3OCE	D	3R6Y	D	0.008889	19.748418
3OCE	D	3R6Y	A	0.009000	19.442222
3OCE	D	3R6Y	C	0.009037	19.104973
3OCE	D	1JSW	B	0.009221	20.542639
3OCE	D	3GTD	B	0.009710	18.708287
3OCE	D	1U16	A	0.010098	25.238859
3OCE	D	1JSW	C	0.010247	20.322401
3OCE	D	1K7W	D	0.010609	28.213472
3OCE	D	3C8T	A	0.010612	21.771541
3OCE	D	3P8C	A	0.010661	213.009389
3OCE	D	1K7W	C	0.010675	27.495454
3OCE	D	1K62	A	0.010716	25.612497
3OCE	D	1TJW	C	0.010722	27.513633
3OCE	D	1XWO	B	0.010770	26.381812
3OCE	D	1HY0	B	0.010783	29.086079
3OCE	D	3TV2	A	0.010783	20.542639
3OCE	D	1K7W	A	0.010834	28.372522
3OCE	D	1HY1	A	0.010864	27.712813
3OCE	D	1TJW	A	0.010874	27.694765
3OCE	D	1XWO	A	0.010894	26.457513
3OCE	D	1DCN	A	0.010936	24.413111
3OCE	D	1I0A	D	0.010945	25.159491
3OCE	D	1HY0	A	0.010967	27.766887
query_pdb	query_chain	hit_pdb	hit_chain	hit_cosine	hit_euclid
3ME1	A	3ME1	A	0.000000	0.000000
3ME1	A	3ME1	B	0.000160	2.000000
3ME1	A	3ME1	C	0.003964	8.774964
3ME1	A	3K3G	A	0.004238	10.295630
3ME1	A	3K3F	A	0.004578	10.630146
3ME1	A	3M6E	A	0.006505	12.649111
3ME1	A	4EZD	A	0.012896	15.620499
3ME1	A	4EZD	C	0.013101	16.031220
3ME1	A	4EZC	C	0.013167	16.093477
3ME1	A	4EZD	B	0.013198	16.401219
3ME1	A	4EZC	B	0.013594	16.340135
3ME1	A	4EZC	A	0.013657	16.673332
3ME1	A	1QVU	B	0.023899	35.902646
3ME1	A	3V8G	C	0.024728	63.237647
3ME1	A	3V8G	F	0.024737	64.148266
3ME1	A	1H9T	B	0.025200	27.622455
3ME1	A	2ZQP	Y	0.025334	55.910643
3ME1	A	3TIJ	A	0.025453	50.229473
3ME1	A	3QNQ	C	0.025482	36.728735
3ME1	A	1SJJ	A	0.025483	212.847363
3ME1	A	1H9T	A	0.025484	28.301943
3ME1	A	1SJJ	B	0.025594	219.481206
3ME1	A	3QNQ	A	0.025628	35.227830
3ME1	A	3TUZ	A	0.026026	22.113344
3ME1	A	1EHK	A	0.026068	95.241798
3ME1	A	2XSM	O	0.026200	21.166010
3ME1	A	3BTL	A	0.026235	31.953091
3ME1	A	3EH5	A	0.026310	87.783825
3ME1	A	2QPD	A	0.026330	93.573501
3ME1	A	1HW2	A	0.026331	26.814175
3ME1	A	4A0L	E	0.026380	121.317765
3ME1	A	3EH4	A	0.026478	91.071401
3ME1	A	3QNQ	B	0.026616	36.041643
3ME1	A	1HW2	B	0.026639	28.160256
3ME1	A	1HW1	A	0.026784	26.286879
3ME1	A	3QJR	A	0.026784	93.856273
3ME1	A	3TUZ	B	0.026803	22.338308
3ME1	A	2AO2	B	0.026823	34.554305
3ME1	A	3TUI	B	0.026916	23.000000
3ME1	A	1H9G	A	0.026966	29.933259
3ME1	A	1RKW	B	0.026968	34.132096
3ME1	A	2DTZ	A	0.026983	32.109189
3ME1	A	3TUZ	F	0.027027	22.781571
3ME1	A	1HW1	B	0.027040	26.362853
3ME1	A	2OA6	D	0.027053	22.158520
3ME1	A	3S3B	A	0.027076	95.005263
3ME1	A	3BVD	A	0.027081	93.813645
3ME1	A	1XME	A	0.027085	94.180677
3ME1	A	3QNQ	D	0.027086	36.455452
3ME1	A	3BNY	B	0.027091	22.158520
3ME1	A	1E2X	A	0.027121	28.809721
3ME1	A	3S38	A	0.027146	90.658701
3ME1	A	3S39	A	0.027205	94.826157
3ME1	A	3KBC	A	0.027207	70.611614
3ME1	A	1ERE	D	0.027209	22.271057
3ME1	A	2AO2	C	0.027212	35.383612
3ME1	A	3QJT	A	0.027215	88.464682
3ME1	A	3QJV	A	0.027223	94.069124
3ME1	A	2X8Y	A	0.027229	55.524769
3ME1	A	3FIK	Q	0.027229	56.373753
3ME1	A	2I2P	T	0.027233	57.723479
3ME1	A	3BTI	A	0.027256	30.805844
3ME1	A	3KBC	B	0.027285	70.639932
3ME1	A	3BNY	D	0.027304	22.000000
3ME1	A	1ERE	A	0.027336	22.315914
3ME1	A	1ERE	E	0.027336	22.315914
3ME1	A	3V8G	B	0.027354	72.560320
3ME1	A	3S3C	A	0.027357	93.182616
3ME1	A	4FA7	A	0.027363	88.774996
3ME1	A	1QVU	D	0.027365	35.000000
3ME1	A	1HM7	A	0.027371	22.516660
3ME1	A	3S3A	A	0.027376	93.909531
3ME1	A	2QPE	A	0.027396	97.467943
3ME1	A	3S33	A	0.027400	95.047357
3ME1	A	3V8G	E	0.027402	72.567210
3ME1	A	3S3D	A	0.027422	96.529788
3ME1	A	2X8Z	A	0.027431	58.215118
3ME1	A	4AA2	A	0.027462	59.016947
3ME1	A	2VPX	G	0.027466	22.912878
3ME1	A	3TUZ	E	0.027529	22.671568
3ME1	A	3V8G	D	0.027534	72.636079
3ME1	A	2QOU	T	0.027544	56.035703
3ME1	A	2QOW	T	0.027544	56.035703
3ME1	A	1ERE	B	0.027580	22.405357
3ME1	A	1ERE	F	0.027580	22.405357
3ME1	A	1HM7	B	0.027597	22.315914
3ME1	A	2F6L	A	0.027603	35.454196
3ME1	A	4FAA	A	0.027632	84.935269
3ME1	A	4A0C	E	0.027638	120.602653
3ME1	A	1FFT	F	0.027667	85.311195
3ME1	A	3V8G	A	0.027669	72.663608
3ME1	A	4F05	A	0.027671	92.179173
3ME1	A	2VPW	C	0.027686	22.248595
3ME1	A	3KBC	C	0.027694	70.724819
3ME1	A	1RKW	D	0.027709	34.249088
3ME1	A	1ERE	C	0.027715	22.449944
3ME1	A	1FFT	A	0.027722	85.416626
3ME1	A	1X7R	A	0.027734	22.226111
3ME1	A	2GBY	B	0.027767	34.307434
3ME1	A	3KBK	A	0.027835	30.033315
3ME1	B	3ME1	B	0.000000	0.000000
3ME1	B	3ME1	A	0.000160	2.000000
3ME1	B	3ME1	C	0.004136	9.433981
3ME1	B	3K3G	A	0.004211	9.797959
3ME1	B	3K3F	A	0.004556	10.148892
3ME1	B	3M6E	A	0.006459	12.165525
3ME1	B	4EZD	A	0.013210	15.684387
3ME1	B	4EZC	C	0.013479	16.093477
3ME1	B	4EZD	C	0.013624	16.155494
3ME1	B	4EZD	B	0.013706	16.462078
3ME1	B	4EZC	B	0.013904	16.340135
3ME1	B	4EZC	A	0.013948	16.613248
3ME1	B	1QVU	B	0.023738	36.891733
3ME1	B	3V8G	F	0.025019	63.285069
3ME1	B	3V8G	C	0.025080	62.393910
3ME1	B	1H9T	B	0.025202	28.513155
3ME1	B	1SJJ	A	0.025420	211.806515
3ME1	B	2ZQP	Y	0.025441	55.045436
3ME1	B	1H9T	A	0.025487	29.206164
3ME1	B	1SJJ	B	0.025499	218.435345
3ME1	B	3TIJ	A	0.025518	49.386233
3ME1	B	3TUZ	A	0.025920	22.649503
3ME1	B	3EH5	A	0.026038	86.764048
3ME1	B	3BTL	A	0.026040	32.878564
3ME1	B	1EHK	A	0.026053	94.260278
3ME1	B	2QPD	A	0.026144	92.563492
3ME1	B	1HW2	A	0.026151	27.622455
3ME1	B	1HW1	A	0.026199	26.962938
3ME1	B	2XSM	O	0.026206	21.447611
3ME1	B	3QNQ	C	0.026219	36.235342
3ME1	B	3EH4	A	0.026243	90.055538
3ME1	B	4A0L	E	0.026321	120.307938
3ME1	B	3TUZ	B	0.026332	22.737634
3ME1	B	3QNQ	A	0.026374	34.770677
3ME1	B	1HW1	B	0.026451	27.037012
3ME1	B	3TUI	B	0.026557	23.515952
3ME1	B	1HW2	B	0.026579	29.034462
3ME1	B	3BNY	B	0.026603	21.977261
3ME1	B	1H9G	A	0.026645	30.789609
3ME1	B	1HM7	B	0.026657	22.494444
3ME1	B	3QJR	A	0.026722	92.870878
3ME1	B	2DTZ	A	0.026776	33.030289
3ME1	B	1E2X	A	0.026777	29.631065
3ME1	B	1HM7	A	0.026777	22.869193
3ME1	B	1RKW	B	0.026783	35.085610
3ME1	B	1ERE	D	0.026842	22.671568
3ME1	B	3FIK	Q	0.026887	57.428216
3ME1	B	2OA6	D	0.026906	22.113344
3ME1	B	3BVD	A	0.026952	92.817024
3ME1	B	3S3B	A	0.026965	94.010638
3ME1	B	1ERE	A	0.026967	22.715633
3ME1	B	1ERE	E	0.026967	22.715633
3ME1	B	1XME	A	0.026979	93.187982
3ME1	B	2I2P	T	0.027007	58.787754
3ME1	B	4FA7	A	0.027012	87.743946
3ME1	B	2AO2	B	0.027038	35.580894
3ME1	B	3S38	A	0.027046	89.671623
3ME1	B	3BTI	A	0.027048	31.701735
3ME1	B	3QJV	A	0.027106	93.075238
3ME1	B	3S3C	A	0.027121	92.168324
3ME1	B	1FFT	A	0.027131	84.344532
3ME1	B	3S39	A	0.027137	93.840290
3ME1	B	3QNQ	B	0.027139	35.510562
3ME1	B	3QJT	A	0.027149	87.487142
3ME1	B	3TUZ	F	0.027154	23.430749
3ME1	B	3KBC	A	0.027155	69.670654
3ME1	B	1QVU	D	0.027157	35.958309
3ME1	B	1FFT	F	0.027192	84.261498
3ME1	B	1ERE	B	0.027208	22.803509
3ME1	B	1ERE	F	0.027208	22.803509
3ME1	B	3S33	A	0.027226	94.042544
3ME1	B	2VPX	G	0.027229	22.737634
3ME1	B	3BNY	D	0.027232	22.045408
3ME1	B	3KBC	B	0.027233	69.699354
3ME1	B	1X7R	A	0.027253	22.538855
3ME1	B	4F05	A	0.027303	91.142745
