query_pdb	query_chain	jaccard	includes_self	intersection
3NRU	D	0.0582	no	1WCDJ, 1WCEH, 1WCEI, 1WCEK, 1WCEM, 2BBAA, 2GSYB, 2GSYI, 2HLEA, 2WO3A, 3P1IA
3NRU	B	0.0582	no	1WCDJ, 1WCEC, 1WCEE, 1WCEH, 1WCEI, 1WCEK, 1WCEM, 2BBAA, 2HLEA, 2WO3A, 3P1IA
3NRU	L	0.0256	no	2BBAA, 2HLEA, 2WO3A, 3ML6A, 3P1IA
3NRU	H	0.0204	no	2BBAA, 2HLEA, 2WO3A, 3P1IA
3NRU	J	0.0204	no	2BBAA, 2HLEA, 2WO3A, 3P1IA
3NRU	A	0.0204	no	2BBAA, 2HLEA, 2WO3A, 3P1IA
3NRU	G	0.0204	no	2BBAA, 2HLEA, 2WO3A, 3P1IA
3NRU	C	0.0204	no	2BBAA, 2HLEA, 2WO3A, 3P1IA
3NRU	E	0.0204	no	2BBAA, 2HLEA, 2WO3A, 3P1IA
3NRU	F	0.0204	no	2BBAA, 2HLEA, 2WO3A, 3P1IA
3NRU	I	0.0152	no	2BBAA, 2HLEA, 2WO3A
3NRU	K	0.0152	no	2HLEA, 2WO3A, 3P1IA
2V63	O	0.0000	no	
2ZUT	C	0.0000	no	
1KC5	H	0.0000	no	
2V63	C	0.0000	no	
2V63	H	0.0000	no	
3OCE	B	0.0000	no	
2V63	G	0.0000	no	
2V63	L	0.0000	no	
2ZUT	D	0.0000	no	
1KC5	P	0.0000	no	
3HER	B	0.0000	no	
3OCE	A	0.0000	no	
3ME1	C	0.0000	no	
2V63	I	0.0000	no	
3DPE	A	0.0000	no	
3H1A	A	0.0000	no	
2V63	D	0.0000	no	
2V63	K	0.0000	no	
2V63	M	0.0000	no	
2DHZ	A	0.0000	no	
2V63	A	0.0000	no	
2ZUT	A	0.0000	no	
3VEU	A	0.0000	no	
3HER	A	0.0000	no	
2V63	E	0.0000	no	
2V63	J	0.0000	no	
3OCE	D	0.0000	no	
1COF	A	0.0000	no	
3ME1	A	0.0000	no	
3ME1	B	0.0000	no	
2V63	N	0.0000	no	
2ZUT	B	0.0000	no	
3LWA	A	0.0000	no	
2V63	B	0.0000	no	
1HRZ	A	0.0000	no	
3OCE	C	0.0000	no	
2V63	P	0.0000	no	
2V63	F	0.0000	no	
1KC5	L	0.0000	no	
